<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>	<OPENINT>
ГАЗПРОМ ао	D	20110503	000000	231.17	232	220.89	221.64	64590780	0
ГАЗПРОМ ао	D	20110504	000000	222	223	211.12	212.44	114033790	0
ГАЗПРОМ ао	D	20110505	000000	213.5	215.45	205.12	208.8	109325880	0
ГАЗПРОМ ао	D	20110506	000000	206.32	213.05	204.7	211.68	110404600	0
ГАЗПРОМ ао	D	20110507	000000	211.68	211.68	211.68	211.68	0	0
ГАЗПРОМ ао	D	20110508	000000	211.68	211.68	211.68	211.68	0	0
ГАЗПРОМ ао	D	20110509	000000	211.68	211.68	211.68	211.68	0	0
ГАЗПРОМ ао	D	20110510	000000	210.62	215.67	210.13	214	72690950	0
ГАЗПРОМ ао	D	20110511	000000	215.25	217.19	209.02	210	69724400	0
ГАЗПРОМ ао	D	20110512	000000	208.3	208.48	201.25	203.12	87720680	0
ГАЗПРОМ ао	D	20110513	000000	204.01	204.87	200.62	201.08	67680780	0
ГАЗПРОМ ао	D	20110514	000000	201.08	201.08	201.08	201.08	0	0
ГАЗПРОМ ао	D	20110515	000000	201.08	201.08	201.08	201.08	0	0
ГАЗПРОМ ао	D	20110516	000000	199.24	202	196.38	198.49	80221260	0
ГАЗПРОМ ао	D	20110517	000000	198.69	200.49	196	198.5	61216360	0
ГАЗПРОМ ао	D	20110518	000000	201	203	199	202.85	59742860	0
ГАЗПРОМ ао	D	20110519	000000	203.3	206.16	200.57	201.36	80383130	0
ГАЗПРОМ ао	D	20110520	000000	202	203.8	195.6	196.9	74839850	0
ГАЗПРОМ ао	D	20110521	000000	196.9	196.9	196.9	196.9	0	0
ГАЗПРОМ ао	D	20110522	000000	196.9	196.9	196.9	196.9	0	0
ГАЗПРОМ ао	D	20110523	000000	195	195.37	190.05	190.3	72652120	0
ГАЗПРОМ ао	D	20110524	000000	191.3	195.95	191.3	195.5	64643570	0
ГАЗПРОМ ао	D	20110525	000000	193.5	196.99	192.5	196.77	69740110	0
ГАЗПРОМ ао	D	20110526	000000	198.16	199.24	194.2	195	77261150	0
ГАЗПРОМ ао	D	20110527	000000	196.7	202.5	195.77	201.82	83493960	0
ГАЗПРОМ ао	D	20110528	000000	201.82	201.82	201.82	201.82	0	0
ГАЗПРОМ ао	D	20110529	000000	201.82	201.82	201.82	201.82	0	0
ГАЗПРОМ ао	D	20110530	000000	201.8	204.4	201.47	203.89	32188090	0
ГАЗПРОМ ао	D	20110531	000000	205.2	207.75	203.95	204.02	65305130	0
ГАЗПРОМ ао	D	20110601	000000	205.46	206.6	203.13	203.48	62661390	0
ГАЗПРОМ ао	D	20110602	000000	200.64	202.3	198.56	201.68	74629030	0
ГАЗПРОМ ао	D	20110603	000000	201.4	203	195.11	196.55	82895660	0
ГАЗПРОМ ао	D	20110604	000000	196.55	196.55	196.55	196.55	0	0
ГАЗПРОМ ао	D	20110605	000000	196.55	196.55	196.55	196.55	0	0
ГАЗПРОМ ао	D	20110606	000000	196.5	197.41	194.07	195.97	53765390	0
